Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
"C1, C10, C12, C15, C16, C17, C18, C2, C21, C22, C23, C24, C25, C26, C4, C5, C6, C7, C8",0402,19,100n,C1525
"C11, C29, C30",0402,3,1u,C52923
"C19, C20",0402,2,2u2,C12530
"C27, C28, C3",CP_EIA-3216-18_Kemet-A,3,10u,C7171
C9,0402,1,10n,C15195
FB1,0603,1,120R@100MHz,
J1,PinSocket_1x06_P2.54mm_Vertical,1,SWO Connector,
J2,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
"PB0, PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8",TC002-N11AS2XT-RGB,9,TC002-N11AS2XT-RGB,
"R1, R2",0402,2,4k7,C25900
"R10, R12, R14, R17, R24, R26, R28, R30, R8",0402,9,470,C25117
"R11, R13, R15, R16, R18, R20, R21, R22, R23, R25, R27, R29, R31, R4, R5, R6, R7, R9",0402,18,220,C25091
"R19, R3, R32",0402,3,10k,C25744
R33,0402,1,49.9,C25120
R35,0402,1,1k,C11702
S1,Bourns_PTL20,1,Bourns_PTL,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,ST Reset,
SW3,SW_Push_1P1T_NO_CK_KMR2,1,ESP Boot Mode,
SW4,SW_Push_1P1T_NO_CK_KMR2,1,ESP Reset,
SW5,SW_Toggle_MS500,1,Power,
"U1, U2",TSSOP-28_4.4x9.7mm_P0.65mm,2,PCA9685PW,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U4,ESP-12E,1,ESP-12F,
U5,TO-252-3_TabPin2,1,LM1117DT-3.3,
