Designator,Mid X,Mid Y,Rotation,Layer
BT1,158.0,-80.27,0.0,bottom
C1,102.0,-90.0,90.0,bottom
C10,129.23,-80.0,180.0,bottom
C11,129.23,-78.75,180.0,bottom
C12,127.5,-80.0,90.0,bottom
C15,91.001,-82.23,270.0,bottom
C16,101.0,-82.25,270.0,bottom
C17,111.0,-82.27,270.0,bottom
C18,121.0,-81.75,270.0,bottom
C19,133.25,-92.75,90.0,bottom
C2,115.0,-90.0,90.0,bottom
C20,122.75,-98.0,270.0,bottom
C21,87.75,-95.25,180.0,bottom
C22,91.0,-104.75,90.0,bottom
C23,101.0,-104.75,90.0,bottom
C24,111.0,-104.75,90.0,bottom
C25,121.0,-104.75,90.0,bottom
C26,128.75,-99.75,180.0,bottom
C27,146.525,-89.875,0.0,bottom
C28,141.025,-89.875,180.0,bottom
C29,131.0,-103.0,180.0,bottom
C3,131.75,-98.25,90.0,bottom
C30,125.0,-103.0,0.0,bottom
C4,121.5,-98.0,270.0,bottom
C5,119.4,-83.75,0.0,bottom
C6,119.4,-85.0,0.0,bottom
C7,133.8,-87.2,180.0,bottom
C8,132.6,-95.0,180.0,bottom
C9,129.23,-81.25,180.0,bottom
FB1,128.0,-103.0,0.0,bottom
FM1,79.0,-77.0,0.0,top
FM2,79.0,-103.0,0.0,top
FM3,158.0,-76.75,0.0,top
J1,134.725,-77.99,0.0,top
J2,141.75,-78.02,0.0,top
PB0,86.0,-79.0,90.0,top
PB1,96.0,-79.0,90.0,top
PB2,106.0,-79.0,90.0,top
PB3,116.0,-79.0,90.0,top
PB4,86.0,-90.0,90.0,top
PB5,86.0,-101.0,90.0,top
PB6,96.0,-101.0,90.0,top
PB7,106.0,-101.0,90.0,top
PB8,116.0,-101.0,90.0,top
R1,118.0,-88.0,270.0,bottom
R10,97.0,-77.75,90.0,bottom
R11,94.75,-78.5,90.0,bottom
R12,107.0,-77.75,90.0,bottom
R13,104.75,-78.5,270.0,bottom
R14,117.0,-77.75,90.0,bottom
R15,114.75,-78.5,270.0,bottom
R16,87.0,-91.25,90.0,bottom
R17,87.0,-88.75,90.0,bottom
R18,84.75,-89.5,90.0,bottom
R19,153.0,-103.0,270.0,bottom
R2,118.0,-90.0,90.0,bottom
R20,87.0,-102.5,90.0,bottom
R21,97.0,-102.5,90.0,bottom
R22,107.0,-102.5,90.0,bottom
R23,117.0,-102.5,90.0,bottom
R24,87.0,-99.75,90.0,bottom
R25,84.75,-100.25,90.0,bottom
R26,97.0,-99.5,90.0,bottom
R27,94.75,-100.25,90.0,bottom
R28,107.0,-99.5,90.0,bottom
R29,104.75,-100.25,90.0,bottom
R3,153.75,-90.5,90.0,bottom
R30,117.0,-99.5,90.0,bottom
R31,114.75,-100.25,90.0,bottom
R32,136.75,-89.51,90.0,bottom
R33,130.0,-73.0,0.0,bottom
R35,147.0,-72.75,270.0,bottom
R4,87.0,-80.25,90.0,bottom
R5,97.0,-80.25,90.0,bottom
R6,107.0,-80.25,90.0,bottom
R7,117.0,-80.25,90.0,bottom
R8,87.0,-77.75,90.0,bottom
R9,84.75,-78.5,90.0,bottom
S1,127.25,-90.0,90.0,top
SW1,158.5,-91.0,270.0,top
SW3,154.5,-98.0,270.0,top
SW4,158.5,-98.0,270.0,top
SW5,150.8,-77.0,270.0,top
U1,96.0,-90.0,0.0,bottom
U2,109.0,-90.0,0.0,bottom
U3,126.0,-90.0,180.0,bottom
U4,142.6,-99.5,180.0,top
U5,142.525,-98.415,270.0,bottom
